Codigo,Calle,Latitudes,Longitudes,CODIGO ESRI,Name,Nombre,SIgla,ProPIedad,DAP,Altura,Radio,Estado,PODA,TratamIento,PRIORIDAD TRATAMIENTO,TAZA,FísIco,Hongos,Insectos,VIrus/BacterIa,OBSERVACIONES,N° REBROTES,
005AI131,ValdIvIeso,,,,CassuarIna,CassuarIna angustIfolIa,Ca a,SePultura,20,8,"1,5",Regular,ALTURA,CORTA,3,NO,,,,,,131,
004RI132,SazIe,,,,AIlantus,AIlanthus altIssIma,A a,SePultura,2,3,1,Bueno,ALTURA,HERBICIDA,1,NO,,,,,,132,
004AI133,SazIe,,,,AIlantus,AIlanthus altIssIma,A a,SePultura,48,8,4,Malo,ALTURA,CORTA,1,NO,,,,,,133,
004AI134,SazIe,,,,AIlantus,AIlanthus altIssIma,A a,SePultura,10,6,"2,5",Bueno,ALTURA,HERBICIDA,1,NO,,,,,,134,
005RI135,Echaurren,,,,AIlantus,AIlanthus altIssIma,A a,SePultura,1,3,"0,8",Bueno,ALTURA,HERBICIDA,1,NO,Rebrotes,,,,,135,
005AI136,Echaurren,,,,Palmera canarIa,PohenIx canarIensIs,Ph c,SePultura,50,"0,6",3,Regular,NO APLICA,CORTA,3,NO,,,,,,136,
005AP137,Echaurren,,,,CIPres,CuPressus semPervIrens,Cs sP,CG tasa,43,15,2,Bueno,ALTURA,MANTENCION,4,SI,,,,,,137,
005AI138,Echaurren,,,,LIgustro,LIgustrum sPP.,L sPP,CEM,20,"4,5","1,5",Regular,FORMACIÓN,MANTENCION,3,NO,,,,,,138,
005AP139,Echaurren,,,,CIPres,CuPressus semPervIrens,Cs sP,CG tasa,70,15,"2,5",Bueno,ALTURA,MANTENCION,4,SI,,,,,,139,
005AI140,Echaurren,,,,Palmera canarIa,PohenIx canarIensIs,Ph c,CEM,20,"0,2","0,5",Regular,NO APLICA,EXTRACCION,1,NO,,,,,,140,
005AP141,Echaurren,,,,Palmera canarIa,PohenIx canarIensIs,Ph c,CEM,10,10,"0,3",Regular,NO APLICA,EXTRACCION,1,SI,,,,,,141,
005AP142,Echaurren,346563,6301272,CV887,Alamo,PoPulus deltoIde,P d,CG tasa,48,15,4,Bueno,ALTURA,MANTENCION,4,SI,,,,,,142,
005AI143,Echaurren,,,,Palmera canarIa,PohenIx canarIensIs,Ph c,SePultura,50,"0,5",3,Regular,NO APLICA,CORTA,1,NO,,,,,,143,
005RI144,Echaurren,,,,AIlantus,AIlanthus altIssIma,A a,SePultura,1,"2,5","0,7",Bueno,ALTURA,HERBICIDA,1,NO,Rebrotes,,,,,144,
005RI145,Echaurren,,,,AIlantus,AIlanthus altIssIma,A a,SePultura,1,"2,5","0,7",Bueno,ALTURA,HERBICIDA,1,NO,Rebrotes,,,,,145,
005RI146,Echaurren,,,,AIlantus,AIlanthus altIssIma,A a,SePultura,1,"2,5","0,7",Bueno,ALTURA,HERBICIDA,1,NO,,,,,,146,
005AP147,Echaurren,,,,CIPres,CuPressus semPervIrens,Cs sP,CG tasa,48,16,"2,5",Bueno,ALTURA,MANTENCION,4,SI,,,,,,147,
005RI148,Echaurren,,,,AIlantus,AIlanthus altIssIma,A a,SePultura,1,"1,7","0,5",Bueno,ALTURA,HERBICIDA,1,NO,,,,,,148,
005RI149,Echaurren,,,,Aloe,Aloe arborescens,A sP,SePultura,5,2,2,Bueno,FORMACIÓN,MANTENCION,3,NO,Rebrotes,,,,,149,
005AP150,SazIe,,,,AIlantus,AIlanthus altIssIma,A a,CEM,64,10,3,Malo,ALTURA,CORTA,1,SI,,,Callo PudrIcIón central,,,150,
005AP151,Echaurren,346531,6301276,CV2617,Alamo,PoPulus deltoIde,P d,CG tasa,48,5,2,Regular,ALTURA,MANTENCION,4,SI,,,,,,151,
004AP09,SazIe,,,,CIruelo rojo,Prunus cerasIfera,Ps c,CEM,27,"4,5",2,Regular,FORMACIÓN,MANTENCION,3,NO,,,,,,152,
004AP153,SazIe,,,,LIquIdambar,LIquIdambar styracIflua,Lq s,CEM,1,"1,5","0,1",Regular,FORMACIÓN,MANTENCION,3,NO,,,,,,153,
031AP01,HERMANAS,,,,Palmera canarIa,,,SePultura,,,,Bueno,ALTURA,MANTENCION,4,SI,,,,,,,
031AP02,HERMANAS,,,,Palmera canarIa,,,SePultura,,,,Bueno,ALTURA,MANTENCION,4,SI,,,,,,,
031RP03,HERMANAS,,,,CeltIs,,,SePultura,,,,Malo,NO APLICA,CORTA,1,SI,,,,,HERBICIDA,,
031RP04,HERMANAS,,,,CeltIs,,,SePultura,,,,Malo,NO APLICA,CORTA,1,SI,,,,,,,
031AP05,HERMANAS,,,,Palmera canarIa,,,SePultura,,,,Bueno,ALTURA,MANTENCION,4,SI,,,,,,,
031RP06,HERMANAS,,,,CeltIs,,,SePultura,,,,Malo,NO APLICA,CORTA,1,SI,,,,,,,
031AP07,HERMANAS,,,,CeltIs,,,SePultura,,,,Malo,NO APLICA,CORTA,1,SI,,,,,,,
031AP08,HERMANAS,,,,Palmera canarIa,,,SePultura,,,,Bueno,ALTURA,MANTENCION,4,SI,,,,,,,
031AP09,HERMANAS,,,,CeltIs,,,SePultura,,,,Malo,NO APLICA,CORTA,1,SI,,,,,,,
031AP10,HERMANAS,,,,WachIntonIa f,,,SePultura,,,,Bueno,NO APLICA,MANTENCION,4,SI,,,,,,,
031AP11,HERMANAS,,,,WachIntonIa f,,,SePultura,,,,Bueno,NO APLICA,MANTENCION,4,SI,,,,,,,
031AP12,BELISARIO PRAT,,,,Palmera canarIa,,,SePultura,,,,Regular,ALTURA,MANTENCION,4,SI,,,,,,,
031AP13,BELISARIO PRAT,,,,Palmera canarIa,,,SePultura,,,,Bueno,ALTURA,MANTENCION,4,SI,,,,,,,
031AP14,BELISARIO PRAT,,,,Palmera canarIa,,,SePultura,,,,Bueno,ALTURA,MANTENCION,4,SI,,,,,,,
032AP15,BELISARIO PRAT,,,,Taxus,,,SePultura,,,,Bueno,PODA,MANTENCION,2,SI,,,,,,,
032AP16,BELISARIO PRAT,,,,WachIntonIa,,,SePultura,,,,Bueno,ALTURA,MANTENCION,4,SI,,,,,,,
032AP17,BELISARIO PRAT,,,,Taxus,,,SePultura,,,,Bueno,PODA,MANTENCION,2,SI,,,,,,,
032AP18,BELISARIO PRAT,,,,Taxus,,,SePultura,,,,Bueno,PODA,MANTENCION,2,SI,,,,,,,
032AP19,DAVILA,,,,AcacIa jaPonIca,,,CEM,,,,Regular,PODA,MANTENCION,1,SI,,,,,,,
032AP20,DAVILA,,,,AcacIa jaPonIca,,,CEM,,,,Regular,PODA,MANTENCION,1,SI,,,,,,,
032AP21,DAVILA,,,,Taxus,,,SePultura,,,,Bueno,PODA,MANTENCION,2,SI,,,,,,,
032AP22,DAVILA,,,,AcacIa jaPonIca,,,CEM,,,,Regular,PODA,MANTENCION,1,SI,,,,,,,
032AP23,DAVILA,,,,AcacIa jaPonIca,,,CEM,,,,Regular,PODA,MANTENCION,1,SI,,,,,,,
032AP24,DAVILA,,,,AcacIa jaPonIca,,,CEM,,,,Regular,PODA,MANTENCION,1,SI,,,,,,,
032AP25,DAVILA,,,,AcacIa jaPonIca,,,CEM,,,,Regular,PODA,MANTENCION,1,SI,,,,,,,
032AP26,DAVILA,,,,AcacIa jaPonIca,,,CEM,,,,Regular,PODA,MANTENCION,1,SI,,,,,,,
032AP27,VICUÑA,,,,Pata vaca,,,INDETERMINADO,,,,Malo,PODA,CORTA,4,SI,,,,,,,
032AP28,VICUÑA,,,,PItosPoro,,,INDETERMINADO,,,,Regular,PODA,MANTENCION,1,SI,,,,,,,
032AP29,VICUÑA,,,,PItosPoro,,,INDETERMINADO,,,,Regular,PODA,MANTENCION,1,SI,,,,,,,
032AP30,VICUÑA,,,,PItosPoro,,,INDETERMINADO,,,,Regular,PODA,MANTENCION,1,SI,,,,,,,
032AP31,VICUÑA,,,,nogal,,,INDETERMINADO,,,,Malo,NO APLICA,CORTA,3,SI,,,,,,,
032AP32,VICUÑA,,,,Taxus,,,SePultura,,,,Bueno,PODA,MANTENCION,2,SI,,,,,,,
032AP33,VICUÑA,,,,Taxus,,,SePultura,,,,Bueno,PODA,MANTENCION,2,SI,,,,,,,
032AP34,VICUÑA,,,,Taxus,,,SePultura,,,,Bueno,PODA,MANTENCION,2,SI,,,,,,,
032AP35,VICUÑA,,,,Taxus,,,SePultura,,,,Bueno,PODA,MANTENCION,2,SI,,,,,,,
032AP36,VICUÑA,,,,Taxus,,,SePultura,,,,Bueno,PODA,MANTENCION,2,SI,,,,,,,
032AP37,VICUÑA,,,,Taxus,,,SePultura,,,,Bueno,PODA,MANTENCION,2,SI,,,,,,,
032AP38,VICUÑA,,,,Taxus,,,SePultura,,,,Bueno,PODA,MANTENCION,2,SI,,,,,,,
032AP39,VICUÑA,,,,Taxus,,,SePultura,,,,Bueno,PODA,MANTENCION,2,SI,,,,,,,
031AI01,,,,,jacaranda,,,CEM,,,,Bueno,PODA,MANTENCION,2,NO,,,,,,,
031AI02,,,,,jacaranda,,,CEM,,,,Bueno,PODA,MANTENCION,2,NO,,,,,,,
031AI03,,,,,jacaranda,,,CEM,,,,Bueno,PODA,MANTENCION,2,NO,,,,,,,
031AI04,,,,,jacaranda,,,CEM,,,,Bueno,PODA,MANTENCION,2,NO,,,,,,,
031AI05,,,,,jacaranda,,,CEM,,,,Bueno,PODA,MANTENCION,2,NO,,,,,,,
031AI06,,,,,jacaranda,,,CEM,,,,Bueno,PODA,MANTENCION,2,NO,,,,,,,
032AI01,,,,,jacaranda,,,CEM,,,,Bueno,PODA,MANTENCION,2,NO,,,,,,,
032AI02,,,,,jacaranda,,,CEM,,,,Bueno,PODA,MANTENCION,2,NO,,,,,,,
032AI03,,,,,jacaranda,,,CEM,,,,Bueno,PODA,MANTENCION,2,NO,,,,,,,
032AI04,,,,,jacaranda,,,CEM,,,,Bueno,PODA,MANTENCION,2,NO,,,,,,,
032AI05,,,,,jacaranda,,,CEM,,,,Bueno,PODA,MANTENCION,2,NO,,,,,,,
032AI06,,,,,jacaranda,,,CEM,,,,Bueno,PODA,MANTENCION,2,NO,,,,,,,
032AI07,,,,,jacaranda,,,CEM,,,,Bueno,PODA,MANTENCION,2,NO,,,,,,,
032AI08,,,,,jacaranda,,,CEM,,,,Bueno,PODA,MANTENCION,2,NO,,,,,,,
032AI09,,,,,jacaranda,,,CEM,,,,Bueno,PODA,MANTENCION,2,NO,,,,,,,
032AI10,,,,,Palma chIlena,,,SePultura,,,,Bueno,PODA,MANTENCION,2,NO,,,,,,,
032AI11,,,,,Palma chIlena,,,SePultura,,,,Bueno,PODA,MANTENCION,2,NO,,,,,,,
032AI12,,,,,jacaranda,,,CEM,,,,Bueno,PODA,MANTENCION,2,NO,,,,,,,
032AI13,,,,,Enredadera,,,CEM,,,,Bueno,PODA,MANTENCION,2,NO,,,,,,,
032AI14,,,,,jacaranda,,,CEM,,,,Bueno,PODA,MANTENCION,2,NO,,,,,,,
032AI15,,,,,Taxus,,,SePultura,,,,Bueno,PODA,MANTENCION,2,NO,,,,,,,
032AI16,,,,,Taxus,,,SePultura,,,,Bueno,PODA,MANTENCION,2,NO,,,,,,,
032AI17,,,,,jacaranda,,,CEM,,,,Bueno,PODA,MANTENCION,2,NO,,,,,,,
032AI18,,,,,jacaranda,,,CEM,,,,Bueno,PODA,MANTENCION,2,NO,,,,,,,
032AI19,,,,,jacaranda,,,CEM,,,,Bueno,PODA,MANTENCION,2,NO,,,,,,,
032AI20,,,,,jacaranda,,,CEM,,,,Bueno,PODA,MANTENCION,2,NO,,,,,,,
032AI21,,,,,jacaranda,,,CEM,,,,Bueno,PODA,MANTENCION,2,NO,,,,,,,
032AI22,,,,,CIruelo rojo,,,CEM,,,,Regular,PODA,MANTENCION,1,NO,,,,,,,
032AI23,,,,,CIruelo rojo,,,CEM,,,,Regular,PODA,MANTENCION,1,NO,,,,,,,
031AI07,,,,,jacaranda,,,CEM,,,,Bueno,PODA,MANTENCION,2,NO,,,,,,,
031AI08,,,,,jacaranda,,,CEM,,,,Bueno,PODA,MANTENCION,2,NO,,,,,,,
031AI09,,,,,jacaranda,,,CEM,,,,Bueno,PODA,MANTENCION,2,NO,,,,,,,
031AI10,,,,,jacaranda,,,CEM,,,,Bueno,PODA,MANTENCION,2,NO,,,,,,,
031AI11,,,,,Palmera canarIa,,,SePultura,,,,Bueno,PODA,MANTENCION,2,NO,,,,,,,
031RI12,,,,,CeltIs,,,SePultura,,,,Regular,NO APLICA,MANTENCION,3,NO,,,,,,,
014AP03,Echaurren,346536,6301282,CV147,Alamo,PoPulus deltoIde,P d,CEM,,,,Malo,NO APLICA,CORTA,1,SI,,,,,,,
014AP04,Echaurren,346540,6301281,CV148,Alamo,PoPulus deltoIde,P d,CEM,,,,Malo,NO APLICA,CORTA,1,SI,,,,,,,
014AP05,Echaurren,346545,6301280,CV149,Alamo,PoPulus deltoIde,P d,CEM,,,,Malo,NO APLICA,CORTA,1,SI,,,,,,,
014AP06,SazIe,346534,6301284,,Alamo,PoPulus deltoIde,P d,CEM,,,,Malo,NO APLICA,CORTA,1,SI,,,,,,,
018AP01,OrIente ladrIllo,,,,CIruelo rojo,,,CEM,19,"3,5","1,5",Bueno,PODA,MANTENCION,2,SI,,,,,,,
018AP02,OrIente ladrIllo,,,,CIruelo rojo,,,CEM,18,"3,5",1,Bueno,PODA,MANTENCION,2,SI,,,,,,,
018AP03,OrIente ladrIllo,,,,CIruelo rojo,,,CEM,21,"3,5",1,Regular,PODA,MANTENCION,1,SI,,,INSECTOS,,,,
018AP04,OrIente ladrIllo,,,,CIruelo rojo,,,CEM,11,"3,5",1,Regular,PODA,MANTENCION,1,SI,EXUDACIÓN,HONGOS,,,,,
018AP05,OrIente ladrIllo,,,,CIruelo verde,,,CEM,5,3,1,Regular,PODA,CORTA,2,SI,,,,,2 VARAS,,
018AP06,OrIente ladrIllo,,,,CIruelo rojo,,,CEM,10,"3,5","1,5",Regular,PODA,MANTENCION,1,SI,,HONGOS,INSECTOS,,,,
018AP07,HERMANAS,,,,CIruelo verde,,,CEM,11,"3,5",1,Malo,NO APLICA,CORTA,1,NO,,,,,PUDRICIÓN,,
018AP08,HERMANAS,,,,FALSO ACACIO,,,CEM,35,4,2,Regular,PODA,MANTENCION,1,NO,,,,,,,
018AP09,VICUÑA,,,,Palmera canarIa,,,CEM,30,3,"1,5",Bueno,PODA,MANTENCION,2,NO,,,,,,,
018AI10,SUR-ORIENTE,,,,AIlantus,,,CEM,8,4,1,Bueno,NO APLICA,CORTA,1,NO,,,,,SEMLLLERO,,
018AI11,,,,,AIlantus,,,CEM,8,4,1,Bueno,NO APLICA,CORTA,1,NO,,,,,SEMLLLERO,,
018AI12,,,,,AIlantus,,,CEM,5,4,1,Bueno,NO APLICA,CORTA,1,NO,,,,,SEMLLLERO,,
018AI13,,,,,AIlantus,,,CEM,40,6,4,Bueno,PODA,MANTENCION,2,NO,,,INSECTOS,,SEMLLLERO,,
018AI14,,,,,AIlantus,,,CEM,40,6,4,Bueno,PODA,MANTENCION,2,NO,,,INSECTOS,,SEMLLLERO,,
018AI15,,,,,AIlantus,,,CEM,10,5,1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018RI16,,,,,AIlantus,,,CEM,2,"1,2","0,5",Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018RI17,,,,,AIlantus,,,CEM,2,"1,2","0,5",Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018RI18,,,,,AIlantus,,,CEM,2,"1,2","0,5",Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI19,,,,,AIlantus,,,CEM,5,"4,5",1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI20,,,,,CeltIs,,,CEM,5,"3,5",1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI21,,,,,AIlantus,,,CEM,6,4,1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI22,,,,,AIlantus,,,CEM,15,4,1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI23,,,,,AIlantus,,,CEM,8,4,1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI24,,,,,AIlantus,,,CEM,3,2,1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI25,,,,,AIlantus,,,CEM,3,2,1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI26,,,,,AIlantus,,,CEM,3,2,1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI27,,,,,AIlantus,,,CEM,3,2,1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI28,,,,,AIlantus,,,CEM,4,"3,5",1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI29,,,,,AIlantus,,,SePultura,8,4,1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI30,,,,,AIlantus,,,SePultura,10,5,"1,5",Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI31,,,,,AIlantus,,,SePultura,6,"3,5","1,5",Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI32,,,,,Palmera canarIa,,,SePultura,10,3,"1,5",Regular,NO APLICA,CORTA,3,NO,,,,,,,
018AI33,,,,,Taxus,,,SePultura,10,"2,2","1,5",Regular,PODA,DESPEJE,2,NO,,,,,,,
018AI34,,,,,AIlantus,,,SePultura,4,3,1,Bueno,NO APLICA,CORTA,2,NO,,,,,,,
018AI35,,,,,Palmera canarIa,,,SePultura,60,"3,5","1,5",Bueno,PODA,MANTENCION,2,NO,,,,,,,
018AI36,,,,,FALSO ACACIO,,,INDETERMINADO,32,"5,5",2,Malo,PODA,CORTA,1,NO,,,,,QUINTRALES,,
018AI37,,,,,CeltIs,,,INDETERMINADO,3,"2,5",1,Regular,NO APLICA,CORTA,1,NO,,,,,,,
018AI38,,,,,CeltIs,,,INDETERMINADO,3,2,1,Regular,NO APLICA,CORTA,1,NO,,,,,,,
018AI39,,,,,CeltIs,,,INDETERMINADO,2,"1,5",1,Regular,NO APLICA,CORTA,1,NO,,,,,,,
018AI40,,,,,jacaranda,,,INDETERMINADO,32,"5,5",4,Bueno,PODA,MANTENCION,2,NO,,,,,DESPEJE,,
018AI41,,,,,FALSO ACACIO,,,INDETERMINADO,37,"5,5",0,Malo,NO APLICA,CORTA,1,NO,,,,,,,
018AI42,,,,,CeltIs,,,INDETERMINADO,12,"4,5","1,5",Regular,NO APLICA,CORTA,1,NO,,,,,,,
018AI43,,,,,AIlantus,,,INDETERMINADO,5,4,1,Regular,NO APLICA,CORTA,1,NO,,,,,,,
018AI44,,,,,AIlantus,,,INDETERMINADO,5,4,1,Regular,NO APLICA,CORTA,1,NO,,,,,,,
018AI45,,,,,AIlantus,,,SePultura,35,7,2,Bueno,PODA,CORTA,3,NO,,,,,DAÑO A ESTRUCTURAS,,
018AI46,,,,,AIlantus,,,SePultura,3,"2,5",1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI47,,,,,CeltIs,,,SePultura,2,2,1,Regular,NO APLICA,CORTA,1,NO,,,,,,,
018AI48,,,,,CeltIs,,,SePultura,2,2,1,Regular,NO APLICA,CORTA,1,NO,,,,,,,
018AI49,,,,,CeltIs,,,SePultura,8,4,"1,2",Regular,NO APLICA,CORTA,1,NO,,,,,,,
018AI50,,,,,FALSO ACACIO,,,SePultura,20,2,0,Malo,NO APLICA,CORTA,1,NO,,,,TUMORES,INJERTOS DE CELTIS ,,
018AI51,,,,,AIlantus,,,SePultura,3,4,1,Regular,NO APLICA,CORTA,1,NO,,,,,,,
018AI52,,,,,FALSO ACACIO,,,SePultura,3,"2,2",1,Bueno,PODA,EXTRACCION,3,NO,,,,,,,
018AI53,,,,,CeltIs,,,SePultura,8,4,1,Bueno,PODA,MANTENCION,2,NO,,,,,,,
018AI54,,,,,FALSO ACACIO,,,SePultura,19,"4,5","1,5",Malo,PODA,CORTA,1,NO,,,,,QUINTRAL,,
018RI55,,,,,CeltIs,,,SePultura,2,3,1,Malo,NO APLICA,CORTA,1,NO,,,,,,,
018RI56,,,,,CeltIs,,,SePultura,2,3,1,Malo,NO APLICA,CORTA,1,NO,,,,,,,
018RI57,,,,,CeltIs,,,SePultura,2,"2,5",1,Malo,NO APLICA,CORTA,1,NO,,,,,,,
018AI58,,,,,CeltIs,,,CEM,16,4,"1,5",Regular,PODA,DESPEJE,1,NO,,,,,ENREDADERA,,
018AI59,,,,,WACHINTONIA ROBUSTA,,,SePultura,11,"5,5",1,Bueno,NO APLICA,DESPEJE,2,NO,,,,,ENREDADERA,,
018AI60,,,,,CeltIs,,,SePultura,24,6,"1,5",Bueno,PODA,DESPEJE,2,NO,,,,,ENREDADERA,,
018AI61,,,,,WACHINTONIA ROBUSTA,,,SePultura,11,"5,5",1,Bueno,NO APLICA,DESPEJE,2,NO,,,,,ENREDADERA,,
018AI62,,,,,BugambIlIa,,,SePultura,20,4,2,Bueno,PODA,DESPEJE,2,NO,,,,,,,
018AI63,,,,,BugambIlIa,,,SePultura,20,4,2,Bueno,PODA,DESPEJE,2,NO,,,,,,,
018AI64,,,,,AIlantus,,,CEM,10,5,"1,5",Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI65,,,,,AIlantus,,,CEM,5,5,1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI66,,,,,AIlantus,,,CEM,5,5,1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI67,,,,,AIlantus,,,CEM,5,5,1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI68,,,,,AIlantus,,,CEM,5,5,1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI69,,,,,AIlantus,,,CEM,5,5,1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI70,,,,,AIlantus,,,CEM,5,5,1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI71,,,,,AIlantus,,,CEM,5,5,1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI72,,,,,AIlantus,,,CEM,5,5,1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI73,,,,,AIlantus,,,CEM,5,5,1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI74,,,,,AIlantus,,,CEM,5,5,1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI75,,,,,AIlantus,,,CEM,5,5,1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI76,,,,,AIlantus,,,CEM,5,5,1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI77,,,,,AIlantus,,,CEM,5,5,1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI78,,,,,AIlantus,,,CEM,5,5,1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI79,,,,,AIlantus,,,CEM,8,5,1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI80,,,,,AIlantus,,,CEM,8,5,1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI81,,,,,AIlantus,,,CEM,8,5,1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI82,,,,,AIlantus,,,CEM,8,5,1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI83,,,,,LIgustro,,,SePultura,4,"3,5","1,2",Bueno,PODA,MANTENCION,2,NO,,,,,,,
018AI84,,,,,LIgustro,,,SePultura,11,"3,5","1,2",Bueno,PODA,MANTENCION,2,NO,,,,,,,
018AI85,,,,,AIlantus,,,CEM,3,"3,5",1,Bueno,NO APLICA,CORTA,1,NO,,,,,,,
018AI86,,,,,CIruelo rojo,,,CEM,28,"5,5",2,Malo,NO APLICA,CORTA,1,NO,,,,,QUINTRAL,,
018AI87,,,,,CIruelo rojo,,,CEM,17,"3,5",2,Regular,PODA,CORTA,1,NO,,,,,QUINTRAL,,
152AP01,,,,,NN hacer,,,,,,,Regular,NO APLICA,MANTENCION,3,NO,,,,,,,
150AP01,CEIBOS,,,,ACER,,,CEM,35,5,2,Regular,PODA,CORTA,3,NO,,,INSECTOS,TUMORES,,,
150AP02,CEIBOS,,,,ACER,,,CEM,24,5,"1,5",Bueno,PODA,MANTENCION,2,NO,,,,,,,
150AP03,CEIBOS,,,,ARBUSTO,,,CEM,3,3,1,REGULAR,PODA,MANTENCION,1,NO,,,,AGALLAS,,,
